Date,AveragePrice,lon,lat,region,Total Volume,lon_scaled,lat_scaled,logPrice,logPriceDiff,Date,logVol,logDiffVol
2017-11-12,1.26,-73.754968,42.6511674,Albany,113586.0,0.8955098484500623,0.5424192041733096,0.23111172096338664,-0.2513144282809061,2017-11-12,11.640315538237965,0.0
2017-06-25,1.53,-73.754968,42.6511674,Albany,89303.04,0.8955098484500623,0.5424192041733096,0.4252677354043441,-0.03215711163453139,2017-06-25,11.399790808838347,-0.24052472939961866
2016-09-18,1.39,-73.754968,42.6511674,Albany,79513.63,0.8955098484500623,0.5424192041733096,0.3293037471426003,0.014493007302566696,2016-09-18,11.283683732488026,-0.11610707635032114
2015-03-15,1.11,-73.754968,42.6511674,Albany,43045.79,0.8955098484500623,0.5424192041733096,0.10436001532424286,0.03670136685042799,2015-03-15,10.670019711810157,-0.6136640206778683
2016-05-08,1.27,-73.754968,42.6511674,Albany,120194.49,0.8955098484500623,0.5424192041733096,0.23901690047049992,0.2094580982289555,2016-05-08,11.696866459766325,1.0268467479561671
2017-01-29,1.31,-73.754968,42.6511674,Albany,95424.59,0.8955098484500623,0.5424192041733096,0.2700271372130602,-0.19370687901908,2017-01-29,11.466091581036215,-0.23077487873010938
2015-08-09,1.12,-73.754968,42.6511674,Albany,111140.93,0.8955098484500623,0.5424192041733096,0.11332868530700327,-0.2582348711254797,2015-08-09,11.618554314623267,0.1524627335870523
2017-04-02,1.62,-73.754968,42.6511674,Albany,92621.11,0.8955098484500623,0.5424192041733096,0.4824261492442928,0.3340061441260196,2017-04-02,11.436272364415531,-0.1822819502077362
2017-07-16,1.39,-73.754968,42.6511674,Albany,102461.61,0.8955098484500623,0.5424192041733096,0.3293037471426003,-0.08940658771558474,2017-07-16,11.53724347081889,0.10097110640335849
2015-05-31,1.23,-73.754968,42.6511674,Albany,95123.62,0.8955098484500623,0.5424192041733096,0.20701416938432612,0.03306086226088814,2015-05-31,11.462932587831423,-0.0743108829874668
2017-11-05,1.62,-73.754968,42.6511674,Albany,71076.94,0.8955098484500623,0.5424192041733096,0.4824261492442928,-0.03039747718437097,2017-11-05,11.171518231257494,-0.2914143565739291
2018-02-18,1.43,-73.754968,42.6511674,Albany,85630.24,0.8955098484500623,0.5424192041733096,0.3576744442718159,-0.013889112160667128,2018-02-18,11.357793770772354,0.18627553951485964
2016-09-11,1.37,-73.754968,42.6511674,Albany,81473.15,0.8955098484500623,0.5424192041733096,0.3148107398400336,-0.049832373747875636,2016-09-11,11.308028797096327,-0.049764973676026614
2018-01-28,1.57,-73.754968,42.6511674,Albany,93625.03,0.8955098484500623,0.5424192041733096,0.45107561936021673,-0.07365290957476539,2018-01-28,11.447053041246706,0.13902424415037906
2016-04-03,0.85,-73.754968,42.6511674,Albany,81694.23,0.8955098484500623,0.5424192041733096,-0.16251892949777494,-0.5612950494551427,2016-04-03,11.31073865411908,-0.13631438712762645
2017-08-06,1.53,-73.754968,42.6511674,Albany,92938.17,0.8955098484500623,0.5424192041733096,0.4252677354043441,-0.05096644359202762,2017-08-06,11.439689712322457,0.12895105820337704
2017-04-23,1.34,-73.754968,42.6511674,Albany,89327.1,0.8955098484500623,0.5424192041733096,0.29266961396282004,-0.18975653528147274,2017-04-23,11.400060192271015,-0.0396295200514416
2016-01-10,1.28,-73.754968,42.6511674,Albany,79121.77,0.8955098484500623,0.5424192041733096,0.2468600779315258,0.2173012756899814,2016-01-10,11.278743337128265,-0.1213168551427497
2018-01-07,1.13,-73.754968,42.6511674,Albany,98540.22,0.8955098484500623,0.5424192041733096,0.12221763272424911,-0.26304476806639576,2018-01-07,11.498220068691362,0.21947673156309655
2015-06-28,1.37,-73.754968,42.6511674,Albany,89534.81,0.8955098484500623,0.5424192041733096,0.3148107398400336,0.07579383936953368,2015-06-28,11.402382767193442,-0.09583730149791947
2016-03-27,1.49,-73.754968,42.6511674,Albany,92529.27,0.8955098484500623,0.5424192041733096,0.3987761199573678,0.12114438335908823,2016-03-27,11.435280305878766,0.03289753868532408
2016-02-07,1.07,-73.754968,42.6511674,Albany,169614.01,0.8955098484500623,0.5424192041733096,0.06765864847381486,-0.08076135664445835,2016-02-07,12.041280605060317,0.6060002991815505
2015-10-18,1.12,-73.754968,42.6511674,Albany,84843.44,0.8955098484500623,0.5424192041733096,0.11332868530700327,-0.13353139262452254,2015-10-18,11.348562954768449,-0.6927176502918684
